Price,Close,High,Low,Open,Volume,RSI,MACD,MACD_signal,Ichimoku_base,Ichimoku_conversion,Ichimoku_span_a,Ichimoku_span_b,Bollinger_upper,Bollinger_lower
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,
Date,,,,,,,,,,,,,,
2024-03-30,69645.3046875,70355.4921875,69601.0625,69893.4453125,17130241883,57.328468920862214,2066.79490796756,2263.1707036999837,66536.990234375,67041.529296875,66789.259765625,59041.09765625,74325.7470956593,62556.3978262157
2024-03-31,71333.6484375,71377.78125,69624.8671875,69647.78125,20050941373,60.29080170579095,2133.6220985059044,2237.260982661168,67278.927734375,67383.08984375,67331.0087890625,59505.447265625,74196.72106028853,62606.398080336476
2024-04-01,69702.1484375,71342.09375,68110.6953125,71333.484375,34873527352,56.22858000233675,2031.5166540729115,2196.1121169435164,67278.927734375,67776.76953125,67527.8486328125,60327.6953125,73968.89132346402,62656.31375466098
2024-04-02,65446.97265625,69708.3828125,64586.59375,69705.0234375,50705240709,47.28084863477575,1588.9241021915368,2074.674513993121,67278.927734375,68157.140625,67718.0341796875,60683.73828125,73269.36322486249,62592.1891188875
2024-04-03,65980.8125,66914.3203125,64559.8984375,65446.671875,34488018367,48.39044268063933,1266.641673270875,1913.0679458486718,67278.927734375,68143.79296875,67711.3603515625,60747.916015625,72814.1406018707,62505.83361687929
2024-04-04,68508.84375,69291.2578125,65113.796875,65975.6953125,34439527442,53.39311358772781,1201.3728423698485,1770.7289251529073,67278.927734375,68143.79296875,67711.3603515625,61078.283203125,72723.39514501851,62507.0861049815
2024-04-05,67837.640625,68725.7578125,66011.4765625,68515.7578125,33748230056,51.953187456072655,1083.0021661098435,1633.1835733442945,67278.927734375,68052.9609375,67665.9443359375,61523.451171875,72739.5054646103,62743.2281291397
2024-04-06,68896.109375,69629.6015625,67491.71875,67840.5703125,19967785809,54.05735220821585,1062.35595632084,1519.0180499396038,67278.927734375,67968.83984375,67623.8837890625,62155.923828125,72782.73649307148,62750.54553817853
2024-04-07,69362.5546875,70284.4296875,68851.6328125,68897.109375,21204930369,54.99276830008073,1071.2828430238005,1429.4710085564432,67278.927734375,67968.83984375,67623.8837890625,62155.923828125,72919.76816952336,62794.909955476636
2024-04-08,71631.359375,72715.359375,69064.2421875,69362.5546875,37261432669,59.330283609667035,1247.055759608469,1392.9879587668484,67278.927734375,68637.62890625,67958.2783203125,62155.923828125,72867.06688575055,63819.469832999435
